ro,rup
NEPOATA UNUI PAZNIC,NIPOATA AVIGL’ITORULUI
Munții rămăseseră pustii.,Munțîl’i armasiră ca irñii.
"Au coborât turmele de oi la iernat... iată, ciobanii, mâhniți, nu se mai zăresc... familii - în caravane, au plecat și ele... Satul, singur de-acum, își căinează soarta. Pădurile vuiesc, parcă ar sta să-și mărturisească dorul lor pentru prietenii plecați departe, departe, care au adus cu dânșii bucuriile, nădejdile locului.","Fudziră cupiile di oi... s-chirură diparte-n cale picurarl’i învirinaț, s-dipărtară fumeile cu cîrvăñile a lor. Hoara, armasă singură, își plîndze mira-l’i. Pădurile vîzescu, canda vor se-aspună ș-năse jalea ti oaspițl’i a lor duruț, ți fudziră diparte... diparte ș-loară cu năși tută haraua, tută nădia lor."
"Au amuțit dragile cântece din fluier, nu se mai aud mândrele aromânce fredonând. Le-a luat locul vântul tăios, care mătură frunzele veștede și umple satul întreg cu ele... Vântul trezește satul ca dintr-un vis greu, și trece apoi mai departe, șuierând prin văioagele pietroase ale munților.","Se-asteasiră cîntițle dulțe di flueară, nu ma se-avdu boțle a armânelor dail’eane. Tu loclu a lor vimtul arăsună jilos, l’ea cu năs frîndză uscate, umple hoara întreagă... u dișteaptă dit γislu a l’ei greu, și-apoia se-astindze diparte, tu văl’iurle stirnoase a munțîlor."
"Câtă tristețe coboară toamna aici, câți dintre cei ce se-ndrăgesc nu desparte ea... câte iubiri nu face să lâncezească și să se stingă chiar, pentru totdeauna!","Cîtă jale aduțe ș-toamna, cîte iniñi durute nu dispartă... cîte vreri nu arățeaște ș-le-astindze ti totuna."
"Ploaia măruntă și rece, ce părea că nu va conteni vreodată, a stat acum. Sus, printre spărturile norilor zdrențăroși, se strecoară firave raze de soare, pierite aproape, în timp ce turme și oameni și caravane suie trudnic panta muntelui.","Pluina arațe țe avea cădzută ahîtă oară, păpsi. Diparte-n dzare, pi tu cripiturile a niorlor, alunica mundzîle a soarelui, aproapea s-cheară, cîndu fumeile cu cupiile di oi ș-cîrvăñile fugate din hoară alina cu greu giuglu a muntilui."
"Gospodarii își îndemnau caii, știind că dincolo de curmătură se întinde șesul unde vor face popasul odihnitor.","Bărbațl’i anîngîsea cal’i, că după muntile țe-alina, s-tindea cîmpul iu lipsea s-facă cunache."
"Prin văi adânci - soarele nu pătrunde deloc. Umbrele încep a se lungi peste munți și peste prăpăstii, mai întâi ca o lumină cenușie, apoi ca un giulgiu negru... negru, sub care pădurile dispar în tăcere. Câmpia, și ea cufundată în întuneric, visează frumoase zile de primăvară... E o liniște de țintirim. Dar, deodată pădurea răsună de voci omenești, de sunet de talăngi, lătrat de câini: cei plecați la iernat - poposesc undeva.","În cheare, niți ună mundă luñinoasă. Umbrile ahurhiră si s-tindă piste munț și văl’iuri ninte, ca ună luñină puțîn asteasă, apoi ca un zăvon l’ai... lai, sum care s-chirdea pădurile tăcute. Cîmpul, chirdut și-el tu-ntuneric, inγisa dzîlile mușeate di prumuveară... - nă tățeare ca di murmintu. Dinăoară, tut cîmpul s-umplu di boț subțîri di chipuri, di strigări di oamiñi, di alîtrări di cîñi: eara fumeile cu cîrvăñile a lor."
"Focuri luminează acum câmpia. Catârii fură ușurați de poveri, oile se revărsară după iarbă înrourată. Cerul, înorat mai devreme, se însenină pe nebăgate de seamă; și cu el se înseninară și sufletele ciobanilor, mohorâți până aici. Fluierele începură a doini despre dorurile celor tineri; cântecele flăcăilor, făceau să răsune câmpia până departe. Munții și văile se trezeau; ca și pădurile. Totul în jur se înveselea - de voia bună nevinovată a oamenilor. Luna s-a urcat în înaltul cerului, iar focurile piereau rând pe rând. Armânii dormeau acum, somn ușor, sub cerul deschis - ca viața lor.","Focurile aprease luñinară cîmpul. Mulile li discărcară, oile arîiră pi tu cîmpul aruvinat. Țerlu, alăcit cu puțîn ma nîinte, si-nsirina puțîn cîte puțîn; Ș-cu el si-nsirina și suflitile armîñilor țe pînă atumțea eara tăcuț. Fluerle acîțară se-aspună dorlu a tinirilor; cîntițle junești și di vreare fățea ca se-arăsună cîmpul întreg. Munțîl’i și văl’iurile s-diștipta; pădurile s-diștipta și-eale. Tute di-avarliga s-hărisea di bana aestă curată a armânilor. Luna se-avea nălțată-n țer, focurile se-astindzea un după alantu. Armâñil’i durñea somnu lișor, sum țerlu sirin ca bana a lor."
"Numai un suflet pătimea în acest timp, un tânăr mlădiu și plin de vigoare, ca toți oamenii muntelui. Păzea focul arzând... arzând ca inima sa. Nu scotea o vorbă, chinuit de gânduri ce-i veneau amestecate, tulburi, fără nici o rânduială, că nu se-nțelegea nimic din ele; se-nșirau așa, să-i deslușești în ele viața-i chinuită: uite-l mic de tot, orfan, apoi mai mare, singur - neavând pe nimeni să i se destăinuie... Și, într-o zi de Sântă-Măria, îi ieși în cale o inimă dragă, o fată cu suflet de înger, da - așa era - cu care s-a înțeles dintr-o dată: și-au împărtășit unul altuia dorurile, au plâns de bucurie amândoi, și de-atunci... La gândul ăsta, fruntea i se îmbrobonă de sudoare rece, ochii i se umeziră... și, fără să mai stea pe gânduri, se ridică în picioare și se uită, lung, înspre sat.","Mași un suflit căñisit, un tinir analtu și sănătos ca tuț armâñil’i di munte, avigl’ea ningă foclu țe ardea... țe ardea ca inima-l’i tu cheptu. Șidea ași tăcut și minduiri îl’i trițea pit minte, minduiri țe ninte l’i γinea mintite, fără aradhă, di nu putea se-achicăsească țiva; apoia-l’i γinea baire-baire, dit care putea si-și veadă bana-l’i împlină di-arale: s-veade di cu ñic oarfăn, apoia agiumtu mare, singur, fără se-aibă a cui si și-aspună dorlu... Nă dzuă di Stă-Mărie l’i inși în cale ună inimă durută, ună feată cu suflit di anghil, cu care se-achicăsi: Și-aspusiră dol’i dorlu, s-nicară tu lăcriñi di harauă, ș-di-atumțea... La minduirea aestă, frîmtea l’i si acupiri cu sudoare arațe, ocl’il’i l’i si mul’eară... Ș-fără si s-minduiască ma multu, si sculă ș-mutri diparte, cătră hoară."
"În jur, liniște grea: pe boltă, stelele licăreau ușor, luna strălucind își vedea de drumul ei, umplând pădurile cu lumină. Iar aromânii dormeau somn dulce... Liniște adâncă și-n cer, și pe pământ; dar în pieptul lui Dinu mocnea furtuna. Liniștea locului însă, parcă-i mai alina uraganul din suflet, și așa - se așeză din nou lângă foc, să macine mai departe gânduri. Dar și acum, tot gânduri negre, ba mai negre chiar, îl copleșeau... îi răsunau în urechi plânsete... și umbre lungi, spăimoase îi jucau pe dinainte... Închise o clipă ochii, să nu mai vadă... și-atunci i se-nchegă în minte icoana curată a celei care-i frământa atâta sufletul: departe, în sat, draga lui, Vira, rămăsese singură, cu tatăl ei - paznicul satului, să-și plângă zilele, și viața ei, numai necazuri, și ce-o să-i mai aducă iarna...","Di-avarliga tute tățea: analtu-n țer stealile trimbura lișor, luna înγilicioasă își trițea lunga-l’i cale și umplea pădurile de luñină. Armâñil’i durnea somnu lișor... Tățeare mare eara-n țer ș-pri loc; ma furtună eara tu cheptul al Dina. Tățearea aestă canda-l’i ñicura ș-furtuna dit cheptu, și ași, ma lișurat, șidzu ningă foc ca si s-minduiască iară. Ma tora, minduiri ma lăi îl’i γinea tu minte... boț plănguroase l’i-arăsuna la urecl’i... umbre lundzi, aspăroase l’i trițea dininte. Încl’ise nă minută ocl’il’i ca se-ascapă di tute aiste... Și-atumțea l’i-inși dininte limpide icoana ți-l’i friminta mintea ahîntă oară: diparte, în hoară, vruta-l’i Viră armase singură cu tată-su, avigl’itorlu a hoarîl’ei; s-neacă tu lăcriñi și-și plîndze ñira-l’i niñiloasă... Ș-plîndze bana împlină di fărmațe ți u-așteaptă iarna aistă."
